fold,fpr,tpr,auc
1,0.0,0.0,0.5555555555555556
1,0.0,0.125,0.5555555555555556
1,0.1111111111111111,0.125,0.5555555555555556
1,0.1111111111111111,0.5,0.5555555555555556
1,0.4444444444444444,0.5,0.5555555555555556
1,0.4444444444444444,0.625,0.5555555555555556
1,0.8888888888888888,0.625,0.5555555555555556
1,0.8888888888888888,0.875,0.5555555555555556
1,1.0,0.875,0.5555555555555556
1,1.0,1.0,0.5555555555555556
2,0.0,0.0,0.6111111111111112
2,0.0,0.125,0.6111111111111112
2,0.0,0.25,0.6111111111111112
2,0.1111111111111111,0.25,0.6111111111111112
2,0.1111111111111111,0.375,0.6111111111111112
2,0.2222222222222222,0.375,0.6111111111111112
2,0.2222222222222222,0.625,0.6111111111111112
2,0.7777777777777778,0.625,0.6111111111111112
2,0.7777777777777778,0.875,0.6111111111111112
2,1.0,0.875,0.6111111111111112
2,1.0,1.0,0.6111111111111112
3,0.0,0.0,0.65625
3,0.0,0.125,0.65625
3,0.0,0.375,0.65625
3,0.125,0.375,0.65625
3,0.125,0.5,0.65625
3,0.375,0.5,0.65625
3,0.375,0.625,0.65625
3,0.625,0.625,0.65625
3,0.625,0.875,0.65625
3,1.0,0.875,0.65625
3,1.0,1.0,0.65625
4,0.0,0.0,0.6875
4,0.0,0.125,0.6875
4,0.0,0.5,0.6875
4,0.125,0.5,0.6875
4,0.125,0.625,0.6875
4,0.375,0.625,0.6875
4,0.375,0.75,0.6875
4,1.0,0.75,0.6875
4,1.0,1.0,0.6875
5,0.0,0.0,0.8253968253968254
5,0.0,0.14285714285714285,0.8253968253968254
5,0.0,0.2857142857142857,0.8253968253968254
5,0.1111111111111111,0.2857142857142857,0.8253968253968254
5,0.1111111111111111,0.7142857142857143,0.8253968253968254
5,0.3333333333333333,0.7142857142857143,0.8253968253968254
5,0.3333333333333333,0.8571428571428571,0.8253968253968254
5,0.5555555555555556,0.8571428571428571,0.8253968253968254
5,0.5555555555555556,1.0,0.8253968253968254
5,1.0,1.0,0.8253968253968254
