fold,fpr,tpr,auc
1,0.0,0.0,0.8611111111111112
1,0.0,0.125,0.8611111111111112
1,0.0,0.5,0.8611111111111112
1,0.1111111111111111,0.5,0.8611111111111112
1,0.1111111111111111,0.625,0.8611111111111112
1,0.2222222222222222,0.625,0.8611111111111112
1,0.2222222222222222,0.875,0.8611111111111112
1,0.5555555555555556,0.875,0.8611111111111112
1,0.5555555555555556,1.0,0.8611111111111112
1,1.0,1.0,0.8611111111111112
2,0.0,0.0,0.5833333333333334
2,0.0,0.125,0.5833333333333334
2,0.0,0.25,0.5833333333333334
2,0.1111111111111111,0.25,0.5833333333333334
2,0.1111111111111111,0.375,0.5833333333333334
2,0.4444444444444444,0.375,0.5833333333333334
2,0.4444444444444444,0.625,0.5833333333333334
2,0.5555555555555556,0.625,0.5833333333333334
2,0.5555555555555556,0.75,0.5833333333333334
2,0.7777777777777778,0.75,0.5833333333333334
2,0.7777777777777778,0.875,0.5833333333333334
2,1.0,0.875,0.5833333333333334
2,1.0,1.0,0.5833333333333334
3,0.0,0.0,0.6875
3,0.0,0.125,0.6875
3,0.0,0.375,0.6875
3,0.125,0.375,0.6875
3,0.125,0.5,0.6875
3,0.375,0.5,0.6875
3,0.375,0.75,0.6875
3,0.75,0.75,0.6875
3,0.75,0.875,0.6875
3,0.875,0.875,0.6875
3,0.875,1.0,0.6875
3,1.0,1.0,0.6875
4,0.0,0.0,0.5625
4,0.125,0.0,0.5625
4,0.125,0.5,0.5625
4,0.5,0.5,0.5625
4,0.5,0.75,0.5625
4,1.0,0.75,0.5625
4,1.0,1.0,0.5625
5,0.0,0.0,0.6666666666666667
5,0.0,0.14285714285714285,0.6666666666666667
5,0.0,0.2857142857142857,0.6666666666666667
5,0.1111111111111111,0.2857142857142857,0.6666666666666667
5,0.1111111111111111,0.42857142857142855,0.6666666666666667
5,0.3333333333333333,0.42857142857142855,0.6666666666666667
5,0.3333333333333333,0.7142857142857143,0.6666666666666667
5,0.5555555555555556,0.7142857142857143,0.6666666666666667
5,0.5555555555555556,0.8571428571428571,0.6666666666666667
5,1.0,0.8571428571428571,0.6666666666666667
5,1.0,1.0,0.6666666666666667
